6597,86,1,11,301,63.85,0
2749,65,1,3,201,34.53,0
4221,78,1,10,341,96.55,0
6365,34,0,22,397,93.85,0
2635,46,0,8,771,95.22,0
2171,50,1,0,819,40.07,0
9771,28,1,5,200,56.9,0
2249,43,1,4,507,86.24,0
8045,17,0,3,105,27.67,0
1956,79,1,2,379,49.34,0
1746,75,0,24,122,80.51,0
1424,13,1,14,862,40.23,0
2646,92,1,16,368,10.09,0
2118,80,1,22,369,64.14,0
4036,54,1,22,879,98.58,0
9366,18,0,0,147,91.55,0
6901,13,0,8,888,39.1,0
8594,35,0,10,645,49.95,0
2962,22,0,15,799,53.38,0
3821,95,1,3,710,99.46,0
7727,87,1,6,633,78.31,0
8024,61,0,20,672,26.46,0
3946,89,1,12,373,47.36,0
5746,70,0,18,373,92.54,0
7755,66,1,8,333,99.82,0
9424,43,0,2,557,3.56,0
6004,34,0,7,202,25.33,0
7423,93,0,18,746,24.72,0
4589,63,1,2,275,50.42,0
6344,49,1,11,289,73.79,0
3641,57,0,0,971,70.09,0
8545,28,1,6,166,77.08,0
5911,7,1,23,651,14.52,0
7692,53,1,2,946,31.46,0
3179,59,0,19,827,2.12,1
4802,39,0,3,379,79.76,0
5488,19,1,8,141,32.95,0
4718,24,1,14,136,61.51,0
7768,51,1,5,781,2.45,0
1529,41,0,21,372,9.06,1
1794,86,0,0,471,20.11,0
7669,72,1,11,709,46.25,0
1614,18,0,17,817,80.67,0
3036,26,1,7,156,24.38,0
2724,11,0,21,971,91.49,0
2536,28,1,16,585,15.23,0
2728,30,1,1,214,76.7,0
6575,76,0,19,236,21.17,0
6517,48,1,20,824,71.85,0
7042,59,0,21,533,12.85,1
9114,58,0,13,875,88.69,0
9267,76,1,7,148,9.11,0
1298,84,1,16,469,47.84,0
5818,62,0,3,847,48.33,0
1229,17,0,14,279,89.97,0
7039,80,0,13,656,63.19,0
2835,2,1,7,697,20.01,0
1199,93,0,18,201,46.81,0
9815,12,1,23,306,48.42,0
3864,26,1,0,339,11.03,0
5798,68,1,11,639,72.22,0
8738,56,0,8,961,98.97,0
4716,12,1,20,747,16.23,0
5949,49,1,17,833,48.07,0
1423,9,1,24,363,10.09,0
2330,79,1,13,539,35.65,0
1315,18,1,4,569,28.84,0
6188,47,0,4,684,67.3,0
3708,94,1,21,790,47.59,0
4694,86,1,3,848,45.07,0
4348,62,0,13,124,54.19,0
9782,78,1,18,279,6.6,0
3457,42,0,0,195,61.48,0
4820,47,0,12,110,81.16,0
8734,5,1,3,262,27.58,0
8240,43,1,19,624,27.08,0
7795,67,0,16,674,3.59,1
3729,60,1,22,494,87.01,0
3024,17,1,18,574,99.64,0
4728,48,0,22,182,21.0,0
1379,80,0,13,469,12.92,1
2278,78,0,10,724,84.35,0
6272,16,0,18,147,91.15,0
6312,33,0,18,964,36.19,0
9138,87,0,21,633,21.03,0
8248,5,0,9,889,69.46,0
1638,93,1,22,908,85.56,0
7758,85,0,22,314,77.17,0
7181,46,0,24,673,84.34,0
2683,24,1,19,972,13.26,0
3318,68,0,21,358,88.75,0
3247,74,1,2,412,44.81,0
1763,34,1,1,125,13.14,0
1646,63,0,10,533,19.3,1
1918,9,1,10,423,81.02,0
6586,71,0,23,398,94.22,0
3122,60,0,19,100,23.08,0
3414,96,0,3,473,61.62,0
3517,41,0,11,572,48.08,0
4913,68,0,21,189,75.48,0
7759,19,1,3,196,27.35,0
4364,98,1,8,125,37.33,0
9434,4,1,23,195,48.34,0
2734,64,1,5,263,91.46,0
9513,72,1,7,275,53.71,0
5732,33,1,23,282,49.77,0
9738,5,0,10,224,83.21,0
7986,94,0,21,814,92.13,0
4162,26,0,23,578,75.58,0
6450,91,1,19,274,2.79,0
9347,18,1,3,829,9.95,0
4965,49,0,22,525,67.71,0
3103,29,1,3,619,27.13,0
4641,19,1,16,963,36.07,0
9486,43,0,18,775,87.02,0
7776,6,0,4,139,92.02,0
3183,95,1,16,292,63.07,0
6374,20,1,9,785,68.69,0
6709,23,0,24,926,23.12,0
4282,13,1,3,130,20.66,0
3260,95,1,24,559,21.31,0
4532,28,1,10,930,34.41,0
5610,79,0,10,422,4.91,1
6638,87,1,13,490,12.67,0
3237,84,0,9,893,15.98,1
6203,26,0,11,822,98.35,0
9753,84,1,1,135,22.62,0
1796,44,1,5,155,45.37,0
8232,92,1,7,612,18.37,0
5555,81,1,19,296,47.17,0
7451,16,0,23,692,45.38,0
7475,15,1,9,295,96.2,0
4890,35,1,0,265,9.14,0
8250,15,0,17,905,55.73,0
7797,42,1,13,988,57.96,0
4054,29,0,20,519,46.14,0
9219,51,0,1,642,61.23,0
5101,69,0,17,241,70.93,0
1611,35,1,9,445,94.14,0
3611,70,1,8,755,23.88,0
6009,64,0,5,954,63.78,0
6432,14,0,10,583,82.28,0
1471,59,0,4,492,74.34,0
2436,53,0,5,433,89.98,0
4469,16,0,1,853,59.61,0
3850,50,1,20,516,67.25,0
3407,85,1,14,731,2.27,0
7300,80,0,13,415,49.66,0
7344,97,0,5,603,83.23,0
5523,64,1,13,974,47.41,0
7497,72,0,13,384,2.24,1
6578,42,1,22,814,61.78,0
2807,16,1,16,765,63.82,0
9858,46,0,0,273,43.31,0
1786,9,1,4,668,15.09,0
3626,56,0,14,594,5.76,1
9254,97,1,24,213,12.65,0
8257,15,1,16,938,50.06,0
9411,78,1,15,133,22.18,0
2670,27,1,18,730,66.87,0
7408,70,0,2,768,87.02,0
5174,99,1,13,300,84.15,0
4016,58,0,16,462,94.08,0
1695,84,0,23,901,79.54,0
4325,92,0,16,148,91.78,0
7887,30,1,10,724,77.84,0
5955,84,1,24,237,89.83,0
3634,77,1,9,543,34.24,0
1023,93,0,11,804,43.4,0
8757,78,0,6,628,86.89,0
9589,58,0,11,312,88.41,0
1078,66,0,24,506,9.72,1
3639,87,1,22,946,30.13,0
9156,83,1,18,544,60.42,0
9469,57,0,5,900,2.3,0
1517,40,1,7,965,50.14,0
6467,28,1,24,954,94.62,0
1529,28,1,11,333,2.93,0
4806,60,0,5,201,51.99,0
4243,18,0,9,348,33.67,0
9203,30,1,17,450,81.4,0
9921,40,1,7,768,78.03,0
9324,45,0,2,992,44.18,0
7623,90,0,16,571,58.55,0
1306,28,0,12,352,24.33,0
7618,8,1,20,779,40.59,0
1153,22,1,19,650,39.06,0
8888,54,1,2,318,33.07,0
3415,10,0,12,374,39.37,0
8184,45,0,19,831,22.48,0
5757,27,1,17,582,75.77,0
4342,66,0,22,857,62.65,0
8962,28,1,21,329,2.89,0
1810,27,0,0,365,75.51,0
3179,38,0,23,629,53.11,0
5512,40,0,11,165,99.77,0
7618,46,1,2,796,95.16,0
5609,42,1,3,191,2.76,0
9383,78,0,15,898,9.57,1
8277,91,1,8,794,64.02,0
8211,85,1,19,835,56.81,0
5347,84,1,20,506,50.45,0
1494,95,0,11,745,28.47,0
8740,24,1,7,441,3.63,0
7265,30,0,21,412,54.51,0
3274,56,1,11,488,91.03,0
9309,49,1,19,772,48.07,0
3874,72,0,16,407,70.3,0
2772,38,1,23,481,24.14,0
2302,92,0,14,807,51.43,0
2893,81,1,3,229,73.56,0
7056,48,0,9,226,82.06,0
5687,63,1,22,227,72.85,0
3005,9,0,10,163,43.9,0
4691,8,1,7,369,57.26,0
1096,12,1,8,119,10.97,0
7767,4,1,20,133,79.72,0
9864,31,0,20,869,80.97,0
6971,19,1,14,210,83.66,0
5708,63,0,7,493,12.08,1
7088,26,0,7,896,99.57,0
2772,22,0,1,952,53.93,0
8966,55,0,9,250,9.72,0
3032,64,1,12,606,58.76,0
6968,11,0,7,868,27.47,0
3391,21,0,14,326,12.15,1
6069,40,1,12,744,51.91,0
1845,14,0,23,431,61.22,0
8864,93,0,2,466,29.71,0
7706,45,0,21,865,1.45,1
4959,89,0,22,685,18.34,1
3337,58,1,8,693,12.27,0
9566,65,1,3,312,84.69,0
5859,55,1,16,287,24.62,0
3124,81,0,11,888,34.56,0
8100,86,0,15,218,92.29,0
3417,89,0,4,623,97.96,0
4994,43,0,23,334,32.18,0
6854,94,1,6,409,94.38,0
9679,88,1,15,210,43.87,0
7067,80,1,14,409,65.0,0
6878,16,0,24,856,38.15,0
9832,25,0,21,513,88.75,0
8080,59,1,8,298,65.06,0
7152,44,1,24,980,60.44,0
6447,46,0,20,333,9.95,1
3216,45,0,20,367,83.22,0
1348,67,0,15,727,16.52,1
7842,6,1,6,628,23.48,0
5636,19,0,10,590,54.74,0
5810,32,1,18,601,97.77,0
1946,14,1,4,824,87.99,0
6886,84,1,0,656,26.65,0
9229,80,0,21,629,50.94,0
3551,8,0,13,474,83.39,0
7753,91,1,3,396,98.29,0
6399,86,0,8,617,79.73,0
9912,51,0,5,712,53.79,0
3101,77,1,16,636,41.83,0
6840,70,1,16,571,43.18,0
9229,65,0,20,451,85.93,0
1917,27,1,12,972,6.09,0
3698,61,0,23,327,54.38,0
6224,57,1,5,151,74.8,0
9051,28,0,21,549,27.43,0
